"entrezgene","sample_1","sample_2","sample_3"
11287,11,3,6
11298,1,2,0
11302,39,51,27
11303,224,294,286
11304,7,4,5
11305,39,40,41
11306,91,114,92
11307,14,7,13
11308,163,159,158
11350,379,371,284
11352,190,206,169
11354,0,0,0
11363,30,50,39
11364,33,45,36
11370,95,109,90
11409,11,12,16
11416,40,28,37
11418,1,1,0
11419,18,12,9
11421,5,3,2
11423,4,1,1
11425,0,0,0
11426,1445,1555,1447
11428,147,158,149
11429,231,218,208
11430,86,112,112
11431,190,237,162
11432,189,216,183
11433,1,1,4
11434,6,5,7
11435,375,401,371
11438,8,21,11
11440,0,0,0
11441,1,1,0
11443,7,22,14
11444,3,8,3
11447,2,6,1
11448,5,0,2
11449,0,0,4
11450,0,0,0
11451,1,1,2
11459,62,75,72
11461,3933,4697,4300
11464,2,5,15
11465,2192,2114,1900
11468,32,31,31
11470,0,0,1
11471,0,0,0
11472,11,11,20
11474,0,1,3
11475,219,247,226
11477,91,126,76
11479,28,25,39
11480,137,131,122
11481,13,9,7
11482,18,31,31
11484,1,2,0
11486,18,17,12
11487,110,143,124
11488,14,22,25
11489,231,172,136
11490,51,80,70
11491,140,135,146
11492,811,970,754
11495,0,0,0
11496,100,106,89
11497,0,0,0
11498,14,39,15
11499,1,2,2
11500,0,0,0
11501,10,17,17
11502,61,60,37
11504,175,199,209
11512,159,201,171
11513,89,56,37
11514,49,33,25
11515,17,15,7
11516,2,2,1
11517,39,55,29
11518,374,597,346
11519,2,10,4
11520,58,75,58
11522,0,0,0
11529,0,0,1
11532,112,129,105
11534,46,59,60
11535,3,5,0
11536,3,12,1
11537,0,0,0
11538,644,700,568
11539,0,3,6
11540,3,4,2
11541,5,7,10
11542,0,1,1
11544,44,69,41
11545,240,239,199
11546,156,177,142
11548,8,10,9
11549,5,0,1
11550,1,10,4
11551,25,15,15
11552,0,1,1
11553,0,0,0
11554,0,0,0
11555,0,1,0
11556,0,0,1
11564,379,452,483
11565,0,0,0
11566,166,196,158
11567,3,4,2
11568,86,78,58
11569,175,138,158
11571,0,0,0
11572,0,0,0
11576,0,0,0
11593,19,23,21
11595,10,6,14
11596,21,8,13
11600,95,115,111
11601,33,40,36
11602,0,2,0
11603,506,574,471
11604,6,9,2
11605,53,56,48
11606,0,0,0
11607,5,6,2
11608,0,0,0
11609,1042,1999,1587
11610,46,25,36
11611,0,0,0
11614,0,0,0
11622,250,292,225
11624,27,36,42
11625,0,0,0
11628,0,0,0
11629,1,3,4
11630,12,8,6
11632,102,153,124
11634,0,0,0
11636,6,0,4
11637,240,266,216
11639,8,25,9
11640,82,54,66
11641,358,360,284
11642,0,0,0
11643,0,0,0
11647,164,170,163
11648,0,0,0
11650,0,0,0
11651,185,192,185
11652,169,162,145
11655,35,52,42
11656,69,87,78
11657,0,0,0
11658,753,921,716
11666,75,60,62
11668,3,4,11
11669,38,26,38
11670,3,0,0
11671,80,67,72
11674,172,218,192
11676,24,21,9
11677,119,121,104
11682,0,1,1
11684,24,15,30
11685,1,0,1
11686,0,2,1
11687,1,0,1
11688,209,258,275
11689,8,7,2
11690,0,3,5
11692,46,28,25
11694,6,0,1
11695,336,296,281
11698,42,27,24
11699,0,0,0
11702,145,182,148
11704,4,7,1
11705,0,0,0
11717,14,30,11
11720,0,0,0
11722,6,11,9
11727,4,1,4
11730,0,0,0
11731,0,0,0
11732,38,31,26
11733,13,14,11
11735,255,252,206
11736,869,1008,1097
11737,212,256,284
11739,362,432,348
11740,223,269,206
11744,10,11,13
11745,25,22,14
11746,54,60,35
11747,225,268,173
11749,608,732,597
11750,71,81,68
11752,5,1,8
11754,39,53,43
11757,57,76,54
11758,87,87,99
11761,0,1,1
11764,74,86,97
11765,217,244,220
11766,61,44,28
11767,116,103,106
11768,1,3,1
11769,20,43,28
11770,0,0,0
11771,51,79,46
11772,230,225,193
11773,283,255,278
11774,221,218,186
11775,0,0,0
11776,249,264,292
11777,56,67,68
11778,166,137,160
11781,60,61,40
11782,35,23,18
11783,144,139,136
11784,74,67,41
