"entrezgene","sample_1","sample_2","sample_3"
11287,4,4,5
11298,1,0,0
11302,8,2,27
11303,338,212,255
11304,1,4,3
11305,30,7,22
11306,98,99,106
11307,30,19,17
11308,183,184,180
11350,460,415,364
11352,195,231,266
11354,0,0,0
11363,47,53,56
11364,27,45,47
11370,105,150,125
11409,9,14,12
11416,47,45,50
11418,0,0,0
11419,17,26,25
11421,0,5,2
11423,1,4,0
11425,0,0,0
11426,1677,2165,1792
11428,161,240,189
11429,297,292,283
11430,102,172,133
11431,312,344,344
11432,293,244,272
11433,0,3,1
11434,7,1,7
11435,416,420,469
11438,17,6,10
11440,0,0,0
11441,0,1,1
11443,19,25,4
11444,12,2,3
11447,2,1,6
11448,0,1,1
11449,4,1,0
11450,0,0,0
11451,0,0,2
11459,101,59,90
11461,6566,5861,5847
11464,9,11,0
11465,5047,3935,3493
11468,4,1,0
11470,0,0,2
11471,0,1,0
11472,20,25,9
11474,5,1,1
11475,289,249,110
11477,153,123,139
11479,33,23,32
11480,136,231,171
11481,8,11,8
11482,31,21,36
11484,0,0,1
11486,25,27,13
11487,179,182,151
11488,19,23,18
11489,349,350,419
11490,71,36,78
11491,156,193,149
11492,920,1021,1046
11495,0,0,0
11496,83,89,134
11497,0,0,0
11498,47,22,35
11499,2,3,3
11500,0,0,0
11501,48,27,23
11502,46,47,65
11504,443,322,254
11512,186,159,168
11513,94,90,57
11514,60,26,30
11515,16,10,17
11516,0,0,2
11517,43,63,53
11518,479,513,551
11519,10,10,6
11520,95,83,86
11522,0,3,0
11529,0,0,5
11532,232,236,168
11534,82,101,82
11535,2,2,2
11536,3,6,1
11537,0,0,1
11538,971,1035,841
11539,4,1,0
11540,2,2,3
11541,10,14,3
11542,2,0,0
11544,52,67,75
11545,265,371,286
11546,161,222,193
11548,12,15,10
11549,0,0,0
11550,0,6,0
11551,3,3,10
11552,0,1,0
11553,0,0,0
11554,0,1,0
11555,2,1,1
11556,0,0,0
11564,558,531,562
11565,0,1,0
11566,203,261,222
11567,3,11,10
