"entrezgene","sample_1","sample_2","sample_3","sample_4"
11287,7,7,1,17
11298,1,0,1,1
11302,12,20,11,5
11303,341,530,217,353
11304,16,6,5,14
11305,36,31,16,18
11306,83,131,78,151
11307,19,13,12,5
11308,179,256,154,263
11350,391,331,166,353
11352,192,248,138,224
11354,0,0,0,0
11363,49,99,30,79
11364,23,46,31,70
11370,43,180,70,114
11409,14,22,6,13
11416,28,62,31,55
11418,1,2,0,2
11419,13,12,8,3
11421,17,6,2,12
11423,17,1,4,2
11425,0,0,0,2
11426,1133,2009,1179,2657
11428,183,218,100,213
11429,195,374,178,244
11430,100,187,101,187
11431,155,511,188,467
11432,168,335,160,244
11433,10,13,6,1
11434,4,9,1,13
11435,307,629,268,328
11438,22,29,11,6
11440,13,0,0,2
11441,6,1,2,0
11443,15,21,12,7
11444,15,4,1,17
11447,22,20,4,9
11448,6,3,1,0
11449,8,6,0,4
11450,0,0,0,1
11451,10,4,1,0
11459,66,154,52,43
11461,4785,6939,2833,3457
11464,27,118,18,31
11465,4472,4860,1828,3099
11468,19,26,14,5
11470,0,0,0,0
11471,0,0,1,0
11472,159,42,10,91
11474,9,4,2,4
11475,322,253,154,165
11477,108,122,70,98
11479,41,47,8,28
11480,117,221,118,221
11481,6,4,3,2
11482,26,20,9,25
11484,7,0,3,7
11486,12,30,8,22
11487,107,237,95,163
11488,20,16,10,19
11489,336,219,118,488
11490,52,49,36,46
11491,134,262,117,231
11492,9349,9134,361,2145
11495,3,1,0,1
11496,62,120,67,205
11497,4,13,0,6
11498,15,23,13,60
11499,2,14,2,17
11500,4,0,0,0
11501,7,7,12,51
11502,38,56,32,41
11504,211,763,251,546
11512,90,224,128,216
11513,46,72,20,78
11514,16,0,7,12
11515,13,20,10,10
11516,0,0,0,2
11517,316,225,5,127
11518,346,666,274,437
11519,6,3,1,24
11520,47,107,49,72
11522,8,5,8,5
11529,0,4,0,1
11532,190,252,140,562
11534,84,161,72,135
11535,22,1,2,5
11536,5,7,1,4
11537,1,1,0,0
11538,777,1075,491,1573
11539,6,8,4,15
11540,3,7,1,0
11541,5,4,7,2
11542,6,5,1,0
11544,86,73,35,49
11545,211,295,131,227
11546,64,174,89,218
11548,75,49,1,37
11549,14,1,2,3
11550,6,7,2,0
11551,29,13,10,2
11552,3,0,0,0
11553,1,4,0,4
11554,4,1,0,1
11555,2,3,3,0
11556,2,0,0,4
11564,557,759,272,475
11565,2,3,0,1
11566,127,358,181,344
11567,12,2,2,24
11568,97,193,87,243
11569,151,282,132,265
11571,4,0,0,0
11572,1,0,0,0
11576,10,0,0,1
11593,25,31,12,68
11595,58,31,22,7
11596,1,6,5,15
11600,103,263,83,246
11601,8,29,25,35
11602,3,0,0,0
11603,510,676,400,651
11604,2,2,3,3
11605,46,78,21,77
11606,2,6,1,1
11607,6,8,3,8
11608,6,3,0,0
11609,1015,2003,1320,1440
11610,48,55,22,41
11611,7,0,0,0
11614,1,0,0,1
11622,281,481,236,310
11624,50,112,25,42
11625,4,0,0,0
11628,5,4,0,0
11629,7,25,6,33
11630,18,19,9,8
11632,45,342,114,65
11634,4,0,0,5
11636,3,9,8,5
11637,179,488,177,370
11639,36,49,18,17
11640,75,70,76,31
11641,510,1065,317,435
11642,2,0,0,0
11643,20,0,0,0
11647,172,180,86,204
11648,3,0,0,0
11650,1,0,0,0
11651,167,279,131,117
11652,166,237,108,285
11655,49,66,36,71
11656,58,94,42,37
11657,0,0,0,0
11658,506,1774,601,1278
11666,84,101,28,110
11668,26,115,12,22
11669,36,44,32,204
11670,4,2,0,0
11671,68,99,51,84
11674,331,601,161,388
11676,33,35,23,53
11677,132,216,62,158
11682,5,0,0,15
11684,49,25,11,49
11685,5,1,3,0
11686,7,1,0,4
11687,5,1,0,6
11688,286,339,136,233
11689,20,6,1,28
11690,28,10,10,6
11692,27,66,28,47
11694,4,0,1,2
11695,1449,627,233,786
11698,28,26,15,78
11699,0,0,0,0
11702,164,301,145,309
11704,8,0,6,9
11705,0,0,0,0
11717,33,26,15,16
11720,5,0,0,1
11722,6,8,4,3
11727,11,10,10,4
11730,0,0,0,0
11731,1,0,0,0
11732,44,50,31,47
11733,22,18,12,15
11735,519,449,146,376
11736,931,1490,583,1413
11737,182,425,175,660
11739,465,755,298,875
11740,276,579,328,438
11744,30,22,17,17
11745,39,44,22,53
11746,43,71,80,138
11747,268,444,167,282
11749,404,963,384,679
11750,68,133,73,120
11752,23,33,10,11
11754,104,82,32,11
11757,51,165,72,57
11758,176,216,103,197
11761,27,3,1,13
11764,67,120,68,98
11765,135,286,181,320
11766,92,73,22,40
11767,123,161,88,65
11768,2,3,3,4
11769,21,32,23,12
11770,0,9,0,0
11771,41,55,51,80
11772,180,307,124,256
11773,362,445,160,374
11774,159,278,142,476
11775,21,0,0,8
11776,306,359,163,519
11777,72,101,59,144
11778,157,180,112,285
11781,55,66,35,44
11782,33,63,14,62
11783,101,188,128,209
11784,293,169,67,26
11785,32,37,23,24
11787,554,645,354,791
11789,715,744,343,1560
11790,68,125,67,182
11792,155,208,88,161
11793,48,46,44,39
11796,10,42,31,47
11797,81,290,167,279
11798,288,415,198,804
11799,777,1516,658,392
11800,322,515,254,670
11801,1,2,0,0
11803,47,39,28,46
11804,297,469,250,344
11806,0,0,1,0
11807,0,1,0,1
11808,1,1,0,3
11810,27,43,9,24
11811,13,2,5,9
11812,0,3,0,0
11813,1,3,1,9
11814,0,0,0,0
11815,28,24,21,14
11816,20,109,36,60
11818,0,0,0,4
11819,347,178,53,178
11820,416,533,331,219
11821,98,249,62,106
11826,106,147,60,94
11827,0,0,0,1
11828,33,19,3,27
11829,18,17,5,0
11830,2,0,1,1
11831,1,0,0,16
11832,254,348,117,164
11833,4,0,0,2
11834,134,225,127,331
11835,1,0,0,0
11836,138,326,153,346
11837,1917,2814,903,1793
11838,1,0,0,1
11839,0,0,0,0
11840,622,933,494,726
11841,48,177,69,140
11842,3664,2253,226,1678
11843,828,1277,482,1920
11844,25,56,22,18
11845,103,193,79,90
11846,7,10,8,8
11847,39,47,16,65
11848,588,725,487,701
11852,152,98,52,119
11853,26,51,22,44
11854,10,76,33,27
11855,422,533,279,815
11856,36,50,24,91
11857,71,218,35,186
11858,5,5,1,22
11859,17,4,6,4
11861,35,200,62,151
11863,391,428,207,275
11864,172,172,103,275
11865,22,19,17,19
11867,51,108,51,106
11870,7,0,2,5
11872,4,2,0,0
11875,0,0,0,9
11876,3,1,1,0
11877,49,51,32,36
11878,1,0,0,1
11881,372,267,125,320
11883,46,22,11,16
11886,98,151,76,74
11889,0,2,0,5
11890,5,4,0,10
11891,173,270,112,148
11898,8,9,7,3
11899,249,254,136,495
11905,20,19,6,22
11906,268,410,216,461
11907,60,120,74,119
11908,8766,19870,164,1182
11909,5875,4695,395,2678
11910,3,0,5,6
11911,114,405,147,388
11920,9807,21076,251,488
11921,3,0,9,0
11922,5,0,0,1
11923,0,0,0,0
11924,0,0,0,11
11925,0,0,0,0
11927,24,75,15,45
11928,138,201,169,105
11931,41,72,52,72
11932,98,29,20,62
11933,178,401,187,429
11936,0,6,0,15
11937,11,28,7,4
11938,436,897,452,782
11941,22,5,1,7
11944,6,6,2,7
11945,1,0,0,6
11946,1345,1868,699,3810
11947,1005,3219,1454,2844
11949,188,478,233,922
11950,241,488,154,578
11951,60,259,101,67
11957,275,405,150,501
11958,30,105,31,112
11964,134,395,125,621
11966,91,179,78,125
11972,121,349,121,240
11973,38,90,29,38
11974,43,129,50,44
11975,108,172,82,156
11977,6484,3971,1056,880
11979,22,8,1,1
11980,238,108,176,426
11981,80,64,45,120
11982,63,45,19,51
11983,126,389,126,764
11984,207,226,87,168
11987,2093,7659,108,277
11988,5665,6203,270,1120
11989,6,3,0,20
11990,424,439,222,511
11991,14592,5741,966,2217
11992,49,68,58,141
11993,45,85,35,50
11994,108,34,12,73
11997,5,0,2,1
11998,0,0,0,0
12000,0,5,1,0
12005,48,131,60,65
12006,135,250,110,178
12007,5,0,0,3
12009,14,39,33,52
12010,382,774,282,681
12012,2,8,0,2
12013,81,74,38,57
12014,591,674,291,485
12015,6,94,31,10
12017,69,244,109,475
12018,71,84,60,48
12020,1,0,0,0
12021,85,79,36,43
12022,1,14,5,10
12023,3,1,0,6
12028,6,38,19,27
12029,30,69,36,73
12032,5,1,0,0
12033,33,42,27,55
12034,189,244,104,182
12035,22,43,22,33
12036,23,52,27,38
12038,43,70,28,47
12039,22,25,9,8
12040,141,155,80,109
12041,210,307,111,268
12042,44,74,48,83
12043,2378,7830,293,947
12044,5,8,4,2
12045,3,11,3,2
12046,0,0,0,0
12047,8,12,4,2
12048,93,63,21,23
12049,0,0,0,0
12050,44,127,45,91
12051,21,18,8,10
12053,26,49,15,45
12054,23,34,20,20
12055,114,173,75,186
12057,14,45,13,7
12061,0,0,1,0
12062,0,0,0,1
12064,1,4,1,9
12068,25,101,34,86
12069,68,220,102,111
12070,560,479,135,355
12075,21,1,2,13
12091,52,65,36,41
12095,88,15,5,12
12096,2,0,0,11
12097,0,0,0,9
12111,4376,3417,1174,4807
12116,3,0,0,3
12121,37,7,11,23
12122,35,38,21,38
12123,4929,10709,35,103
12124,1,0,0,0
12125,4161,8772,57,270
12140,1,3,14,25
12142,31,8,18,54
12143,8,0,0,0
12144,69,132,70,302
12145,35,25,4,4
12151,102,169,59,420
12153,111,366,213,265
12154,6,0,0,1
12155,2,1,0,4
12156,103,189,94,154
12159,1044,3052,69,276
12160,2,10,11,13
12161,16,42,27,29
12162,29,14,27,43
12163,1,1,0,1
12164,2223,1269,241,22
12165,2,0,0,1
12166,729,842,407,1009
12167,17,15,6,11
12168,523,664,334,1285
12169,13,18,8,8
12173,14,19,4,0
12175,123,736,281,737
12176,78,121,72,56
12177,227,319,167,435
12180,8,20,7,1
12181,60,86,20,37
12182,4,0,2,2
12183,111,137,71,262
12189,54,107,66,406
12190,111,189,108,419
12192,393,492,210,324
12193,129,207,72,153
12209,1,0,0,0
12211,791,1454,832,1298
12212,1159,1037,411,342
12215,168,304,130,227
12217,143,70,17,83
12223,1,2,1,2
12224,35,18,17,51
12226,373,683,281,724
12227,26,25,33,11
12228,51,90,31,76
12229,10,2,2,11
12231,28,8,1,28
12234,175,187,97,207
12235,103,166,89,360
12236,103,155,104,311
12237,127,260,116,413
12238,42,204,68,230
12257,6,15,10,8
12258,41,126,45,34
12259,4,3,1,1
12260,46,60,18,38
12261,228,238,83,177
12262,25,38,11,9
12263,6,9,3,4
12265,17,17,10,56
12266,10,4,0,76
12267,80,86,25,29
12268,24,22,15,13
12269,6,0,1,2
12273,15,15,7,4
12274,29,9,1,7
12279,1,3,0,0
12282,187,254,133,229
12283,174,202,91,174
12286,7,30,10,13
12287,68,14,6,28
12288,368,642,320,683
