"entrezgene","sample_1","sample_2","sample_3"
11287,7,6,2
11298,0,0,4
11302,2,31,118
11303,204,429,561
11304,2,10,8
11305,12,37,112
11306,88,101,224
11307,7,10,27
11308,133,250,431
11350,99,420,1163
11352,102,210,336
11354,0,0,0
11363,49,56,119
11364,36,58,116
11370,29,144,390
11409,1,13,42
11416,23,47,104
11418,0,0,0
11419,5,11,79
11421,7,5,29
11423,3,2,5
11425,0,0,0
11426,699,2014,5323
11428,91,175,355
11429,76,321,672
11430,90,145,335
11431,234,350,709
11432,91,286,561
11433,0,3,5
11434,0,3,20
11435,247,490,561
11438,5,16,47
11440,0,0,0
11441,2,8,2
11443,9,13,29
11444,6,0,6
11447,21,5,20
11448,1,7,5
11449,0,4,1
11450,0,0,0
11451,1,1,2
11459,8,100,223
11461,604,5702,11445
11464,33,54,95
11465,1172,3218,6351
11468,9,25,118
11470,0,2,1
11471,2,4,0
11472,43,20,106
11474,0,0,14
11475,60,260,832
11477,30,117,413
11479,40,24,103
11480,222,190,339
11481,2,9,18
11482,9,32,157
11484,2,1,4
11486,9,16,68
11487,112,212,351
11488,7,16,69
11489,92,189,734
11490,9,125,227
11491,90,162,362
11492,11739,1193,2982
11495,2,0,0
11496,79,130,216
11497,9,1,1
11498,22,34,61
11499,4,10,10
11500,0,0,1
11501,2,29,57
11502,38,61,134
11504,160,325,621
11512,31,181,849
11513,59,72,215
11514,9,106,420
11515,6,16,48
11516,0,1,3
11517,309,43,147
11518,115,615,1619
11519,5,12,87
11520,31,115,298
11522,0,1,1
11529,0,5,3
11532,156,143,511
11534,102,89,156
11535,7,3,2
11536,0,15,19
11537,0,1,5
11538,538,796,2405
11539,4,10,13
11540,0,3,12
11541,0,3,11
11542,1,0,2
11544,25,81,164
11545,83,287,1028
11546,94,176,495
11548,56,10,47
11549,14,1,6
11550,0,8,14
11551,2,15,43
11552,0,3,1
11553,0,0,0
11554,0,1,1
11555,6,0,3
11556,0,0,0
11564,385,630,852
11565,5,0,0
11566,212,274,428
11567,3,1,14
11568,39,91,511
11569,156,188,387
11571,0,0,0
11572,0,0,0
11576,0,0,1
11593,13,39,59
11595,5,9,14
11596,0,13,59
11600,308,265,312
11601,16,46,61
11602,3,0,8
11603,193,711,1621
11604,0,3,2
11605,26,67,110
11606,3,4,1
11607,1,6,4
11608,0,3,0
11609,1811,2638,1758
11610,58,41,97
11611,0,0,0
11614,0,1,0
11622,252,377,339
11624,33,25,41
11625,0,0,0
11628,3,0,5
11629,11,2,15
11630,4,3,12
11632,9,224,576
11634,2,0,3
11636,0,11,16
11637,44,342,1164
11639,16,18,67
11640,13,75,134
11641,291,691,1997
11642,0,0,0
11643,0,0,2
11647,25,187,514
11648,0,0,1
11650,0,0,4
11651,25,303,687
11652,38,189,727
11655,33,59,168
11656,18,103,190
11657,0,1,1
11658,866,1106,1013
11666,6,108,324
11668,1,9,38
11669,23,27,313
11670,0,0,0
11671,43,94,179
11674,85,323,588
11676,12,19,56
11677,50,134,550
11682,4,0,2
11684,24,20,62
11685,0,0,5
11686,7,1,8
11687,3,0,0
11688,217,307,361
11689,1,4,37
11690,4,11,6
11692,5,46,108
11694,1,0,0
11695,1048,340,1010
11698,2,8,80
11699,0,0,1
11702,115,240,309
11704,0,2,28
11705,0,0,14
11717,16,21,53
11720,4,0,0
11722,12,4,19
11727,2,7,4
11730,0,0,0
11731,0,0,0
11732,22,64,90
11733,17,24,51
11735,330,250,732
11736,729,1173,2398
11737,202,298,1356
11739,414,635,1261
11740,230,420,639
11744,14,25,39
11745,37,55,89
11746,53,76,222
11747,149,321,729
11749,188,960,3063
11750,60,99,155
11752,1,2,3
11754,20,25,101
11757,38,104,138
11758,66,138,261
11761,9,0,14
11764,16,110,215
11765,88,356,804
11766,61,48,107
11767,17,181,385
11768,0,0,7
11769,4,55,40
11770,0,0,0
11771,1,83,228
11772,65,335,807
11773,105,348,976
11774,114,247,838
11775,3,0,6
11776,97,347,965
11777,120,118,133
11778,95,189,549
11781,23,69,99
11782,38,41,73
11783,44,225,344
11784,193,77,9
11785,4,45,115
11787,184,377,1142
11789,778,595,1894
11790,34,115,354
11792,71,162,344
11793,32,61,72
11796,36,47,202
11797,103,210,369
11798,313,421,903
11799,698,1192,609
11800,244,473,941
11801,0,0,0
11803,17,28,187
11804,164,480,708
11806,0,0,2
11807,0,0,0
11808,0,0,0
11810,16,27,41
11811,0,4,6
11812,0,0,7
11813,3,0,4
11814,0,0,0
11815,23,43,47
11816,8,61,150
11818,0,0,0
11819,243,166,365
11820,132,387,679
11821,31,175,373
11826,42,52,458
11827,0,0,0
11828,14,13,15
11829,2,4,6
11830,0,0,1
11831,4,0,0
11832,199,284,247
11833,0,0,4
11834,59,203,559
11835,0,0,7
11836,198,326,661
11837,375,1904,5005
11838,0,8,5
11839,0,0,0
11840,384,875,1929
11841,68,125,358
11842,3490,736,2316
11843,828,924,1788
11844,5,38,88
11845,87,122,247
11846,4,7,15
11847,20,45,34
11848,211,752,1178
11852,64,129,282
11853,11,48,108
11854,12,38,76
11855,494,443,759
11856,17,39,175
11857,21,60,211
11858,1,6,18
11859,3,4,6
11861,60,121,197
11863,255,388,894
11864,44,286,742
11865,19,25,50
11867,34,87,371
11870,0,4,1
11872,0,0,1
11875,3,2,8
11876,1,1,4
11877,22,67,165
11878,0,0,1
11881,181,232,743
11883,8,30,42
11886,108,127,171
11889,1,0,1
11890,2,0,0
11891,155,210,343
11898,2,10,14
11899,185,205,651
11905,9,12,22
11906,126,274,1077
11907,53,127,214
11908,21427,691,857
11909,6079,1185,2792
11910,1,2,2
11911,163,253,665
11920,22408,866,622
11921,0,0,0
11922,3,0,0
11923,0,0,0
11924,0,0,3
11925,1,0,0
11927,10,48,137
11928,28,232,563
11931,21,24,38
11932,14,40,137
11933,233,284,371
11936,0,2,7
11937,3,8,24
11938,341,644,1522
11941,17,3,10
11944,2,2,11
11945,0,0,0
11946,1057,1105,3612
11947,1398,2372,7133
11949,342,402,887
11950,224,282,476
11951,21,185,312
11957,195,272,595
11958,48,25,131
11964,196,298,689
11966,60,163,337
11972,43,220,569
11973,12,79,100
11974,31,55,119
11975,16,184,299
11977,7963,1384,1285
11979,7,2,15
11980,142,432,815
11981,43,105,253
11982,11,55,73
11983,224,143,744
11984,44,225,451
11987,20597,182,323
11988,8147,599,904
11989,0,5,8
11990,215,399,1070
11991,8724,2460,2991
11992,91,85,206
11993,16,62,166
11994,35,28,90
11997,0,0,1
11998,0,0,0
12000,0,5,2
12005,14,127,291
12006,56,110,389
12007,0,0,0
12009,12,37,210
12010,566,425,577
12012,2,1,4
12013,62,88,161
12014,405,417,670
12015,8,56,112
12017,111,155,564
12018,41,87,203
12020,0,0,0
12021,31,79,131
12022,0,7,36
12023,3,0,0
12028,17,55,63
12029,19,137,165
