"entrezgene","sample_1","sample_2","sample_3"
11287,12,2,4
11298,0,0,2
11302,35,7,9
11303,476,316,203
11304,4,0,4
11305,56,16,12
11306,226,47,58
11307,17,2,8
11308,418,147,123
11350,602,241,235
11352,211,111,148
11354,0,0,0
11363,124,36,29
11364,65,31,32
11370,141,86,85
11409,38,5,8
11416,60,38,20
11418,2,0,0
11419,14,2,4
11421,17,1,1
11423,1,0,2
11425,0,0,0
11426,3848,899,1025
11428,295,112,122
11429,525,152,187
11430,241,92,77
11431,826,229,194
11432,501,156,177
11433,6,4,2
11434,9,4,2
11435,372,280,296
11438,12,17,9
11440,1,0,0
11441,8,4,1
11443,13,9,9
11444,6,3,1
11447,13,3,2
11448,1,3,3
11449,12,0,0
11450,4,1,0
11451,3,6,0
11459,133,37,37
11461,7519,3024,3133
11464,313,5,15
11465,3733,1939,1844
11468,0,0,1
11470,0,0,0
11471,0,0,0
11472,105,9,54
11474,1,1,3
11475,91,49,25
11477,246,81,68
11479,18,26,13
11480,579,122,126
11481,15,4,4
11482,61,13,31
11484,17,0,1
11486,52,18,11
11487,260,105,113
11488,11,14,17
11489,331,116,104
11490,89,41,35
11491,553,126,132
11492,1731,519,555
11495,0,1,0
11496,441,109,119
11497,2,0,0
11498,38,12,27
11499,22,2,3
11500,0,0,0
11501,17,10,9
11502,92,27,30
11504,352,148,102
11512,246,118,146
11513,169,39,38
11514,45,33,40
11515,16,15,14
11516,0,0,0
11517,93,33,28
11518,770,410,373
11519,13,6,4
11520,102,72,45
11522,7,5,5
11529,12,0,2
11532,314,99,138
11534,88,73,51
11535,3,4,3
11536,21,2,6
11537,0,1,0
11538,2212,481,514
11539,15,1,2
11540,2,2,1
11541,21,1,8
11542,2,2,1
11544,68,51,64
11545,570,170,155
11546,417,89,121
11548,42,5,10
11549,36,0,4
11550,5,2,0
11551,37,12,16
11552,3,0,0
11553,0,0,0
11554,4,0,1
11555,2,0,0
11556,3,0,0
11564,755,331,412
11565,1,4,1
11566,299,144,198
11567,2,4,3
11568,574,127,94
11569,528,132,145
11571,0,0,0
11572,0,0,0
11576,3,0,0
11593,60,16,16
11595,7,29,25
11596,17,10,7
11600,228,336,131
11601,54,37,28
11602,1,4,0
11603,544,402,409
11604,4,0,2
11605,87,47,43
11606,22,16,4
11607,28,5,4
11608,1,0,0
11609,2802,395,500
11610,89,26,23
11611,0,0,0
11614,2,0,0
11622,524,327,255
11624,34,14,12
11625,2,0,0
11628,2,0,1
11629,23,5,5
11630,11,3,6
11632,283,70,119
11634,3,0,0
11636,7,12,7
11637,693,225,253
11639,36,23,13
11640,69,44,40
11641,1465,691,496
11642,0,0,0
11643,1,0,0
11647,216,145,158
11648,0,0,0
11650,0,0,0
11651,259,146,161
11652,453,142,120
11655,93,29,24
11656,152,76,72
11657,3,0,0
11658,1714,985,653
11666,131,69,40
11668,26,7,5
11669,243,28,19
11670,0,0,3
11671,189,51,51
11674,358,315,247
11676,7,15,5
11677,337,81,91
11682,2,0,1
11684,29,7,12
11685,1,1,0
11686,5,0,2
11687,1,0,0
11688,338,168,201
11689,12,2,1
11690,24,5,2
11692,64,26,30
11694,0,0,0
11695,214,319,167
11698,2,0,0
11699,0,0,1
11702,192,133,171
11704,13,1,2
11705,0,0,1
11717,17,16,11
11720,0,0,0
11722,14,9,5
11727,5,3,2
11730,0,0,0
11731,0,0,0
11732,45,25,14
11733,29,7,10
11735,370,109,119
11736,1643,673,764
11737,999,201,180
11739,1706,402,306
11740,513,257,218
