"entrezgene","sample_1","sample_2","sample_3"
11287,6,2,4
11298,0,0,2
11302,17,0,11
11303,359,153,158
11304,15,0,7
11305,70,14,49
11306,134,17,130
11307,14,0,21
11308,370,546,287
11350,627,514,433
11352,194,48,275
11354,0,0,0
11363,75,128,103
11364,64,123,73
11370,242,68,170
11409,39,6,19
11416,97,27,86
11418,3,0,0
11419,35,2,19
11421,5,0,2
11423,13,16,0
11425,0,0,0
11426,3396,754,1918
11428,304,300,240
11429,661,248,468
11430,168,53,144
11431,579,253,464
11432,340,392,369
11433,4,0,8
11434,12,0,7
11435,374,568,645
11438,43,0,21
11440,0,0,0
11441,0,0,2
11443,15,34,5
11444,12,1,2
11447,14,2,7
11448,1,0,0
11449,0,0,0
11450,0,0,0
11451,5,0,0
11459,157,8,116
11461,9159,1842,7765
11464,21,0,6
11465,4455,4398,5335
11468,4,0,0
11470,0,0,0
11471,0,0,0
11472,56,109,39
11474,7,0,1
11475,569,480,303
11477,316,148,173
11479,48,0,44
11480,441,177,318
11481,8,0,15
11482,105,2,30
11484,7,1,3
11486,137,18,38
11487,168,66,222
11488,36,3,27
11489,411,108,172
11490,194,7,66
11491,226,205,301
11492,1652,3329,1016
11495,0,0,0
11496,475,49,199
11497,1,0,0
11498,17,16,48
11499,0,0,6
11500,0,0,0
11501,30,0,19
11502,95,397,73
11504,409,573,431
11512,325,50,250
11513,103,79,94
11514,109,5,57
11515,77,0,18
11516,11,0,4
11517,113,75,55
11518,1066,39,722
11519,15,0,3
11520,182,1,113
11522,5,0,0
11529,0,0,0
11532,282,539,234
11534,112,279,105
11535,6,5,3
11536,13,12,8
11537,0,0,0
11538,1712,788,998
11539,2,0,2
11540,3,0,6
11541,14,0,6
11542,0,0,3
11544,85,28,135
11545,727,49,443
11546,476,88,291
11548,21,14,13
11549,1,0,1
11550,0,0,0
11551,73,2,42
11552,6,0,0
11553,0,0,0
11554,0,0,0
11555,4,0,4
11556,0,0,0
11564,449,750,701
11565,6,10,1
11566,186,1165,353
11567,35,2,1
11568,515,25,152
11569,232,373,277
11571,0,0,0
11572,0,0,0
11576,6,0,0
11593,44,47,41
11595,23,0,20
