"entrezgene","sample_1","sample_2","sample_3"
11287,9,5,3
11298,0,0,1
11302,30,3,8
11303,1301,543,350
11304,52,10,15
11305,64,25,8
11306,126,98,71
11307,24,12,4
11308,338,241,138
11350,1247,499,237
11352,374,196,143
11354,0,0,0
11363,95,69,31
11364,109,81,40
11370,383,197,91
11409,49,22,6
11416,97,48,24
11418,5,0,0
11419,10,14,4
11421,6,6,2
11423,8,1,2
11425,0,0,0
11426,4064,1865,904
11428,375,239,140
11429,958,478,250
11430,237,155,86
11431,498,476,187
11432,406,287,198
11433,9,13,3
11434,6,9,3
11435,401,514,271
11438,147,23,20
11440,2,0,0
11441,3,1,1
11443,4,14,9
11444,8,4,0
11447,10,3,2
11448,4,2,2
11449,1,0,2
11450,1,0,0
11451,2,2,1
11459,306,135,55
11461,13571,8107,3738
11464,88,19,13
11465,9463,6700,2699
11468,4,4,2
11470,2,0,0
11471,2,0,0
11472,67,29,9
11474,67,10,13
11475,327,235,86
11477,308,163,70
11479,96,51,15
11480,197,188,127
11481,17,4,5
11482,91,35,6
11484,0,1,3
11486,63,29,13
11487,245,169,90
11488,111,35,13
11489,597,419,264
11490,190,91,51
11491,348,204,128
11492,1354,853,412
11495,0,0,0
11496,267,135,83
11497,1,0,0
11498,83,17,31
11499,7,0,1
11500,0,0,0
11501,60,20,12
11502,152,84,59
11504,690,695,335
11512,850,281,135
11513,145,67,30
11514,42,3,15
11515,58,22,4
11516,1,0,0
11517,88,40,25
11518,1428,720,380
11519,18,2,4
11520,246,142,45
11522,18,21,5
11529,5,5,2
11532,544,269,164
11534,257,158,121
11535,2,2,3
11536,10,7,2
11537,3,0,2
11538,1635,1002,568
11539,10,9,3
11540,8,1,2
11541,15,15,3
11542,1,1,0
11544,234,123,54
11545,1241,576,227
11546,445,313,121
11548,42,18,6
11549,9,0,0
11550,35,10,6
11551,24,33,9
11552,1,0,0
11553,1,0,0
11554,2,0,0
11555,0,0,1
11556,0,0,0
11564,640,636,363
11565,10,2,0
11566,322,268,229
11567,8,7,6
11568,1187,380,152
11569,399,261,155
11571,0,0,0
11572,0,0,0
11576,66,0,1
11593,61,44,27
11595,337,117,61
11596,35,13,8
11600,244,195,83
11601,72,35,24
11602,5,1,0
11603,1657,738,393
11604,7,5,3
11605,104,50,32
11606,5,7,7
11607,7,10,2
11608,0,0,0
11609,295,316,103
11610,105,40,31
11611,0,0,0
11614,0,1,0
11622,584,310,131
11624,54,32,7
11625,0,0,0
11628,2,0,2
11629,17,18,3
11630,12,11,4
11632,611,278,77
11634,3,0,0
11636,62,45,27
11637,1255,643,342
11639,122,67,50
11640,170,102,47
11641,2692,1172,624
11642,0,0,0
11643,3,0,0
11647,2567,694,459
11648,0,0,0
11650,0,0,0
11651,711,325,149
11652,891,325,106
11655,157,76,45
11656,192,254,64
11657,0,0,0
11658,1510,1406,753
11666,248,99,33
11668,50,68,11
11669,487,121,29
11670,0,1,1
11671,126,114,51
11674,2118,1035,537
11676,71,48,14
11677,526,292,160
11682,3,2,0
11684,21,46,10
11685,0,4,0
11686,3,3,0
11687,2,0,1
11688,283,340,217
11689,15,5,4
11690,6,19,1
11692,139,107,37
11694,8,2,4
11695,1971,556,319
11698,6,0,2
11699,1,1,0
11702,348,353,252
11704,14,2,1
11705,1,1,0
11717,16,17,8
11720,0,0,0
11722,5,3,6
11727,1,16,1
11730,0,0,0
11731,0,0,0
11732,84,35,17
11733,79,24,8
11735,465,239,104
11736,2003,1324,760
11737,993,575,226
11739,1263,1006,519
11740,610,675,368
11744,44,14,4
11745,34,37,12
11746,178,93,54
11747,668,433,175
11749,2495,1168,441
11750,311,236,125
11752,2,35,6
11754,13,11,5
11757,161,243,139
11758,460,356,216
11761,4,3,2
11764,266,128,68
11765,712,326,185
11766,79,50,29
11767,420,236,102
11768,3,0,3
11769,97,41,38
11770,6,1,1
11771,274,82,52
11772,793,397,183
11773,1135,648,220
11774,952,404,205
11775,3,0,0
11776,882,466,249
11777,103,117,55
11778,538,243,111
11781,122,74,46
11782,53,63,16
11783,292,198,122
11784,25,94,44
11785,153,68,14
11787,923,500,189
11789,1204,613,352
11790,322,130,62
11792,496,290,159
11793,63,39,29
11796,74,35,11
11797,270,246,152
11798,564,446,164
11799,506,1250,682
11800,655,411,300
11801,0,0,0
11803,133,59,18
11804,990,598,313
11806,11,2,1
11807,0,1,0
11808,6,0,0
11810,15,19,7
11811,8,4,2
11812,5,1,0
11813,6,0,0
11814,0,0,0
11815,49,32,13
11816,170,71,20
11818,1,0,0
11819,137,129,47
11820,2407,858,411
11821,766,382,162
11826,224,149,43
11827,1,0,0
11828,11,14,8
11829,1,9,0
11830,1,0,0
11831,0,0,0
11832,191,232,131
11833,0,0,0
11834,511,261,161
11835,3,3,2
11836,584,373,191
11837,6559,4850,1892
11838,7,3,0
11839,1,0,0
11840,1943,1194,685
11841,323,167,94
11842,2170,805,576
11843,1469,1120,641
11844,106,52,21
11845,303,215,92
11846,11,11,7
11847,35,27,24
11848,1083,824,557
11852,197,140,74
11853,134,61,15
11854,90,60,24
11855,406,386,229
11856,116,35,21
11857,188,101,39
11858,7,3,5
11859,3,21,2
11861,126,132,55
11863,808,387,233
11864,456,143,83
11865,32,22,12
11867,369,137,60
11870,6,0,0
11872,2,0,0
11875,8,4,2
11876,2,1,0
11877,62,39,21
11878,1,0,0
11881,436,181,133
11883,71,41,19
11886,144,144,86
11889,0,1,1
11890,0,0,0
11891,218,185,128
11898,17,4,5
11899,359,180,89
11905,10,20,11
11906,2452,1032,445
11907,230,169,105
11908,564,788,368
11909,1967,1178,718
11910,3,0,3
11911,685,407,183
11920,578,1033,534
11921,0,0,0
11922,3,2,0
11923,0,0,0
11924,0,0,0
11925,0,0,0
11927,194,144,35
11928,908,331,134
11931,49,31,20
11932,98,40,16
11933,225,263,151
11936,8,4,1
11937,50,13,8
11938,1362,620,464
11941,7,4,1
11944,13,6,1
11945,0,0,0
11946,3936,2235,1015
11947,7852,3500,2096
11949,893,733,362
11950,435,444,201
11951,504,369,175
11957,510,428,201
11958,121,105,30
11964,616,414,173
11966,263,219,80
11972,580,321,174
11973,133,101,58
11974,174,137,66
11975,326,149,68
11977,1101,1677,843
11979,18,3,3
11980,83,83,64
11981,181,76,35
11982,53,47,13
11983,483,363,163
11984,490,293,139
11987,387,298,171
11988,995,809,504
11989,28,5,4
11990,642,365,192
11991,2289,2843,1508
11992,245,126,62
11993,227,110,57
11994,19,18,1
11997,3,2,0
11998,1,0,0
12000,6,3,0
12005,398,138,56
12006,674,239,83
12007,0,0,0
12009,184,48,41
12010,393,525,259
12012,6,0,2
12013,105,79,41
12014,487,380,228
12015,151,98,46
12017,557,331,161
12018,185,75,47
12020,1,0,0
12021,114,69,39
