"entrezgene","sample_1","sample_2","sample_3"
11287,12,6,5
11298,2,0,0
11302,35,43,20
11303,758,329,468
11304,14,2,3
11305,64,74,35
11306,216,46,124
11307,43,16,18
11308,322,126,229
11350,855,725,400
11352,434,235,244
11354,1,0,0
11363,110,27,90
11364,97,33,55
11370,324,184,140
11409,40,31,20
11416,41,47,46
11418,9,5,1
11419,23,36,10
11421,7,0,3
11423,3,1,7
11425,0,0,0
11426,4900,1038,1688
11428,306,228,236
11429,638,472,370
11430,309,129,149
11431,1046,192,419
11432,435,304,305
11433,3,6,3
11434,22,2,4
11435,502,357,489
11438,62,33,24
11440,1,0,0
11441,2,6,5
11443,20,14,16
11444,2,3,1
11447,13,2,7
11448,3,0,1
11449,6,3,0
11450,0,0,0
11451,4,0,3
11459,148,229,104
11461,9462,10035,7584
11464,102,25,37
11465,6038,4697,5094
11468,1,3,3
11470,2,3,0
11471,0,0,0
11472,65,21,13
11474,20,4,3
11475,128,133,166
11477,287,138,164
11479,55,18,33
11480,593,147,249
11481,6,20,15
11482,115,40,59
11484,11,6,4
11486,68,13,26
11487,340,107,242
11488,39,33,19
11489,413,99,166
11490,154,156,122
11491,434,124,188
11492,2234,1113,1041
11495,3,0,1
11496,404,182,152
11497,7,1,6
11498,85,8,31
11499,5,2,3
11500,0,0,0
11501,20,26,37
11502,100,38,63
11504,348,116,323
11512,602,264,203
11513,169,84,75
11514,250,142,80
11515,30,15,25
11516,0,0,0
11517,150,44,45
11518,1179,858,775
11519,26,4,2
11520,199,74,134
11522,1,4,3
11529,1,0,1
11532,520,147,191
11534,164,39,79
11535,1,3,0
11536,34,14,10
11537,1,0,0
11538,2612,672,967
11539,5,5,2
11540,12,16,7
11541,15,12,9
11542,3,0,0
11544,165,88,93
11545,877,338,406
11546,585,127,201
11548,35,11,18
11549,2,0,2
11550,2,2,6
11551,19,25,18
11552,2,0,0
11553,1,0,0
11554,0,1,8
11555,5,1,2
11556,5,0,0
11564,780,502,621
11565,0,0,1
11566,526,134,329
11567,10,6,3
11568,486,200,183
11569,393,167,276
11571,0,0,0
11572,1,0,0
11576,4,0,1
11593,43,22,35
11595,32,10,5
11596,17,14,10
11600,1037,141,330
11601,92,77,59
11602,2,2,1
11603,1464,796,760
11604,8,4,6
11605,127,57,101
11606,3,31,34
11607,5,6,12
11608,0,0,0
11609,1035,685,1007
11610,99,70,48
11611,0,0,0
11614,5,0,1
11622,1192,400,557
11624,65,21,16
11625,1,0,0
11628,1,0,0
11629,44,3,18
11630,11,0,5
11632,349,183,255
11634,0,0,0
11636,10,15,14
11637,1243,302,545
11639,69,29,34
11640,125,80,51
11641,4079,967,1131
11642,2,0,0
11643,1,0,0
11647,278,197,170
11648,1,0,0
11650,0,0,0
11651,440,450,350
11652,754,457,274
11655,141,68,60
11656,210,149,156
11657,1,0,0
11658,3105,1041,1551
11666,184,132,134
11668,47,2,11
11669,377,69,54
11670,7,0,1
11671,166,87,100
11674,814,723,608
11676,63,23,40
11677,483,264,249
11682,3,0,1
11684,32,27,25
11685,7,1,1
11686,21,0,0
11687,2,2,0
11688,372,290,330
11689,31,3,4
11690,15,7,17
11692,125,60,66
11694,1,0,0
11695,866,351,307
11698,0,0,1
11699,1,0,0
11702,432,192,316
11704,7,2,0
11705,7,0,1
11717,36,33,32
11720,3,0,0
11722,12,0,7
11727,1,2,4
11730,0,0,0
11731,0,0,0
11732,55,53,68
11733,59,31,27
11735,561,202,210
11736,2192,1024,1329
11737,1208,173,396
11739,1480,381,788
11740,951,471,552
11744,28,29,24
11745,91,21,46
11746,135,39,74
11747,558,248,372
11749,1573,1022,1124
11750,247,82,98
11752,5,2,5
11754,8,8,7
11757,157,105,203
11758,326,180,212
11761,7,2,4
11764,208,240,153
11765,917,272,347
11766,108,58,72
11767,267,318,200
11768,0,2,2
11769,21,70,83
11770,2,0,1
11771,107,204,91
11772,675,390,385
11773,1040,489,471
11774,753,190,283
11775,1,0,0
11776,761,455,410
11777,211,51,114
11778,432,266,236
11781,73,86,109
11782,99,21,57
11783,330,135,213
11784,31,76,103
11785,62,67,70
