hgnc_symbol 	& d_genes 	& n_pathways 	& expression_ant 	& expression_post 	& t_test \\
TRIM3 	& 0.25 	& 1(1) 	& 1.17 	& 1.18 	& 2.1e-08 \\
DUSP4 	& 0.21 	& 10(10) 	& 1.12 	& 0.98 	& 1.04e-07 \\
TNFRSF10B 	& 0.2 	& 8(6) 	& 1.13 	& 1.04 	& 1.95e-18 \\
HADH 	& 0.18 	& 2(1) 	& 1.19 	& 1.14 	& 2.77e-28 \\
TP53 	& 0.17 	& 28(13) 	& 1.2 	& 1.13 	& 1.14e-16 \\
PPP2R5B 	& 0.16 	& 12(3) 	& 1.21 	& 1.23 	& 1.17e-05 \\
PRKCB 	& 0.16 	& 9(7) 	& 1.13 	& 1.25 	& 4.35e-09 \\
HDAC2 	& 0.16 	& 6(4) 	& 1.38 	& 1.35 	& 8.08e-15 \\
DUSP3 	& 0.16 	& 8(8) 	& 1.33 	& 1.36 	& 0.00296 \\
PPP1CA 	& 0.15 	& 3(3) 	& 1.27 	& 1.23 	& 8.13e-11 \\
VDAC1 	& 0.15 	& 2(2) 	& 1.45 	& 1.42 	& 1.8e-05 \\
ACAT1 	& 0.15 	& 2(2) 	& 1.17 	& 1.17 	& 0.00601 \\
GNB1 	& 0.15 	& 18(14) 	& 1.45 	& 1.5 	& 1.18e-09 \\
ARHGEF10L 	& 0.14 	& 3(3) 	& 1.24 	& 1.33 	& 5.63e-16 \\
AP2A2 	& 0.14 	& 12(5) 	& 1.34 	& 1.35 	& 1.08e-10 \\
RABEPK 	& 0.14 	& 1(1) 	& 1.15 	& 1.08 	& 1.05e-15 \\
MIB2 	& 0.14 	& 4(4) 	& 1.21 	& 1.27 	& 4.23e-12 \\
GRIN1 	& 0.14 	& 6(6) 	& 1.2 	& 1.29 	& 0.00784 \\
ALDH9A1 	& 0.14 	& 1(1) 	& 1.14 	& 1.15 	& 0.000488 \\
QARS 	& 0.14 	& 4(3) 	& 1.33 	& 1.31 	& 0.00242 \\
RAD51C 	& 0.14 	& 4(3) 	& 1.23 	& 1.16 	& 0.00552 \\
TOMM20 	& 0.13 	& 2(1) 	& 1.42 	& 1.39 	& 0.000969 \\
ARFGAP3 	& 0.13 	& 1(1) 	& 1.17 	& 1.18 	& 6.4e-07 \\
ARHGEF11 	& 0.13 	& 5(5) 	& 1.3 	& 1.34 	& 3.49e-05 \\
PFKM 	& 0.13 	& 2(2) 	& 1.3 	& 1.27 	& 0.00449 \\
HARS2 	& 0.13 	& 2(2) 	& 1.19 	& 1.19 	& 3.4e-12 \\
GDPD5 	& 0.13 	& 1(1) 	& 1.09 	& 1.21 	& 1.98e-18 \\
ZBTB17 	& 0.13 	& 1(1) 	& 1.16 	& 1.17 	& 1.58e-05 \\
RPA2 	& 0.13 	& 36(22) 	& 1.26 	& 1.25 	& 0.00152 \\
TRAF6 	& 0.13 	& 25(7) 	& 1.16 	& 1.12 	& 1.97e-13 \\
EEF1A1 	& 0.12 	& 3(2) 	& 1.86 	& 1.81 	& 0.000101 \\
PRKAR1A 	& 0.12 	& 7(3) 	& 1.41 	& 1.41 	& 5.29e-07 \\
SMARCC1 	& 0.12 	& 2(2) 	& 1.33 	& 1.29 	& 3.84e-10 \\
EARS2 	& 0.12 	& 2(2) 	& 1.12 	& 1.08 	& 0.00391 \\
SGPL1 	& 0.12 	& 1(1) 	& 1.32 	& 1.35 	& 2.23e-06 \\
SQSTM1 	& 0.12 	& 6(4) 	& 1.34 	& 1.36 	& 0.000168 \\
ISCU 	& 0.12 	& 1(1) 	& 1.36 	& 1.36 	& 1.68e-08 \\
MCCC2 	& 0.12 	& 3(3) 	& 1.15 	& 1.11 	& 0.00625 \\
MAPK11 	& 0.12 	& 16(9) 	& 1.27 	& 1.33 	& 6.32e-13 \\
SLC1A5 	& 0.12 	& 1(1) 	& 1.15 	& 1.03 	& 8.94e-16 \\
SLCO3A1 	& 0.12 	& 2(1) 	& 1.17 	& 1.27 	& 5e-15 \\
CPLX1 	& 0.12 	& 7(3) 	& 1.28 	& 1.21 	& 0.000597 \\
TBC1D10A 	& 0.12 	& 1(1) 	& 1.08 	& 1.11 	& 0.00222 \\
SLC18A2 	& 0.11 	& 6(3) 	& 1.17 	& 1.32 	& 7.26e-13 \\
PRKACA 	& 0.11 	& 26(8) 	& 1.27 	& 1.27 	& 2.77e-05 \\
NPM1 	& 0.11 	& 5(2) 	& 1.6 	& 1.48 	& 5.78e-19 \\
LCP1 	& 0.11 	& 1(1) 	& 1.16 	& 1.25 	& 1.3e-07 \\
DNAJA4 	& 0.11 	& 1(1) 	& 1.2 	& 1.23 	& 0.00332 \\
SLC40A1 	& 0.11 	& 4(1) 	& 1.21 	& 1.26 	& 5.14e-07 \\
TAF12 	& 0.11 	& 3(2) 	& 1.14 	& 1.14 	& 4.86e-07 \\
PRKACB 	& 0.11 	& 20(1) 	& 1.31 	& 1.37 	& 3.07e-06 \\
SDHB 	& 0.11 	& 2(2) 	& 1.24 	& 1.24 	& 0.00235 \\
YARS 	& 0.11 	& 2(2) 	& 1.23 	& 1.25 	& 1.86e-17 \\
AP2B1 	& 0.11 	& 12(4) 	& 1.42 	& 1.46 	& 1.05e-16 \\
L1CAM 	& 0.11 	& 2(1) 	& 1.47 	& 1.51 	& 1.56e-05 \\
PPA1 	& 0.11 	& 2(2) 	& 1.41 	& 1.34 	& 1.66e-06 \\
APH1B 	& 0.11 	& 10(5) 	& 1.26 	& 1.28 	& 1.24e-05 \\
GPD2 	& 0.11 	& 3(3) 	& 1.12 	& 1.16 	& 2.46e-06 \\
UROD 	& 0.11 	& 2(2) 	& 1.25 	& 1.26 	& 0.000131 \\
MFN2 	& 0.11 	& 2(1) 	& 1.26 	& 1.3 	& 1.45e-13 \\
RPS27A 	& 0.11 	& 150(9) 	& 1.72 	& 1.66 	& 3.98e-10 \\
LAMA4 	& 0.11 	& 5(1) 	& 1.23 	& 1.31 	& 3.41e-05 \\
NPHP4 	& 0.11 	& 2(1) 	& 1.13 	& 1.16 	& 0.000157 \\
HRAS 	& 0.11 	& 57(7) 	& 1.4 	& 1.35 	& 1.36e-06 \\
MAPT 	& 0.11 	& 3(3) 	& 1.44 	& 1.5 	& 3.74e-05 \\
MTHFD2 	& 0.11 	& 1(1) 	& 1.25 	& 1.17 	& 2.38e-09 \\
HADHB 	& 0.11 	& 2(1) 	& 1.22 	& 1.2 	& 2.39e-10 \\
OTUD5 	& 0.11 	& 3(2) 	& 1.23 	& 1.22 	& 5.15e-05 \\
DDAH1 	& 0.1 	& 2(1) 	& 1.17 	& 1.24 	& 1.2e-05 \\
GSR 	& 0.1 	& 3(1) 	& 1.17 	& 1.14 	& 5.91e-07 \\
SLC16A1 	& 0.1 	& 5(3) 	& 1.16 	& 1.06 	& 4.96e-17 \\
SGSH 	& 0.1 	& 4(1) 	& 1.19 	& 1.22 	& 6.28e-07 \\
TP53INP1 	& 0.1 	& 3(1) 	& 1.14 	& 1.16 	& 0.00149 \\
GRB2 	& 0.1 	& 78(5) 	& 1.56 	& 1.55 	& 3.93e-13 \\
PDGFRA 	& 0.1 	& 5(3) 	& 1.12 	& 1.06 	& 0.00105 \\
HDAC1 	& 0.1 	& 11(3) 	& 1.26 	& 1.29 	& 0.00438 \\
SERINC3 	& 0.1 	& 1(1) 	& 1.27 	& 1.29 	& 6.75e-05 \\
RBBP4 	& 0.1 	& 11(3) 	& 1.32 	& 1.33 	& 2.68e-19 \\
PDK2 	& 0.1 	& 4(3) 	& 1.2 	& 1.21 	& 0.00831 \\
B3GALNT1 	& 0.1 	& 2(1) 	& 1.25 	& 1.23 	& 0.0028 \\
DNAJC5 	& 0.1 	& 2(1) 	& 1.24 	& 1.26 	& 6.97e-12 \\
ARID1A 	& 0.1 	& 2(2) 	& 1.35 	& 1.38 	& 9.45e-38 \\
HSPA9 	& 0.1 	& 3(1) 	& 1.39 	& 1.35 	& 2.34e-09 \\
PPA2 	& 0.1 	& 2(2) 	& 1.12 	& 1.06 	& 7.27e-09 \\
NFYC 	& 0.1 	& 6(3) 	& 1.19 	& 1.21 	& 7.09e-16 \\
NAT8L 	& 0.1 	& 1(1) 	& 1.14 	& 1.07 	& 3.75e-09 \\
NECAP2 	& 0.1 	& 1(1) 	& 1.18 	& 1.21 	& 0.000899 \\
EIF4G3 	& 0.1 	& 1(1) 	& 1.26 	& 1.28 	& 6.7e-15 \\
SLC6A8 	& 0.1 	& 2(1) 	& 1.22 	& 1.16 	& 0.00027 \\
CD44 	& 0.1 	& 3(2) 	& 1.31 	& 1.43 	& 1.83e-07 \\
GNB2 	& 0.1 	& 18(6) 	& 1.4 	& 1.39 	& 0.00998 \\
ANXA2 	& 0.1 	& 3(2) 	& 1.34 	& 1.43 	& 9.39e-06 \\
PHGDH 	& 0.1 	& 1(1) 	& 1.14 	& 1 	& 6.03e-10 \\
STX5 	& 0.1 	& 3(3) 	& 1.21 	& 1.2 	& 0.00708 \\
SARS2 	& 0.1 	& 2(2) 	& 1.12 	& 1.07 	& 0.00014 \\
SNRNP40 	& 0.1 	& 1(1) 	& 1.18 	& 1.19 	& 1.99e-16 \\
PAPSS1 	& 0.1 	& 3(2) 	& 1.23 	& 1.2 	& 3e-13 \\
HSP90AB1 	& 0.1 	& 8(1) 	& 1.59 	& 1.56 	& 1.39e-13 \\
MYC 	& 0.1 	& 5(2) 	& 1.1 	& 1.14 	& 0.00204 \\
MYO6 	& 0.1 	& 2(1) 	& 1.12 	& 1.18 	& 2.83e-06 \\
SLC7A5 	& 0.1 	& 4(1) 	& 1.22 	& 1.19 	& 1.16e-06 \\
UBA52 	& 0.1 	& 148(10) 	& 1.61 	& 1.55 	& 1.28e-15 \\
PQLC2 	& 0.09 	& 1(1) 	& 1.1 	& 1.15 	& 5.15e-10 \\
ABR 	& 0.09 	& 3(3) 	& 1.29 	& 1.36 	& 2.7e-07 \\
CPSF7 	& 0.09 	& 4(2) 	& 1.33 	& 1.31 	& 0.00472 \\
RARA 	& 0.09 	& 2(1) 	& 1.27 	& 1.3 	& 4.93e-06 \\
