pathway 	& d_pathway 	& n_genes 	& expression_ant 	& expression_post 	& t_test \\
Trafficking of GluR2-containing AMPA receptors 	& 0.28 	& 17(7) 	& 1.11 	& 1.13 	& 0.00413 \\
Mucopolysaccharidoses 	& 0.28 	& 11(2) 	& 1.12 	& 1.13 	& 0.00264 \\
Purine ribonucleoside monophosphate biosynthesis 	& 0.27 	& 12(8) 	& 1.16 	& 1.12 	& 5.85e-28 \\
TICAM1-dependent activation of IRF3/IRF7 	& 0.27 	& 12(4) 	& 1.14 	& 1.14 	& 0.351 \\
ERKs are inactivated 	& 0.26 	& 13(4) 	& 1.18 	& 1.19 	& 0.332 \\
Presynaptic depolarization and calcium channel opening 	& 0.26 	& 13(3) 	& 1.07 	& 1.1 	& 1.47e-12 \\
NRIF signals cell death from the nucleus 	& 0.26 	& 20(4) 	& 1.23 	& 1.22 	& 6.49e-05 \\
Metabolism of folate and pterines 	& 0.26 	& 17(6) 	& 1.07 	& 1.05 	& 4.09e-16 \\
Gap junction degradation (See also: Gap junction degradation;; Formation of annular gap junctions) 	& 0.26 	& 12(3) 	& 1.28 	& 1.3 	& 0.000818 \\
Nef Mediated CD4 Down-regulation 	& 0.25 	& 10(5) 	& 1.22 	& 1.24 	& 2.22e-05 \\
tRNA Aminoacylation 	& 0.25 	& 42(17) 	& 1.17 	& 1.15 	& 9.57e-23 \\
Nucleobase biosynthesis 	& 0.25 	& 15(7) 	& 1.15 	& 1.11 	& 2.78e-28 \\
Cytosolic tRNA aminoacylation 	& 0.25 	& 24(5) 	& 1.23 	& 1.21 	& 2.36e-22 \\
mitochondrial fatty acid beta-oxidation of saturated fatty acids 	& 0.25 	& 11(2) 	& 1.06 	& 1.07 	& 4.87e-05 \\
NOTCH2 Activation and Transmission of Signal to the Nucleus 	& 0.25 	& 24(9) 	& 1.22 	& 1.22 	& 0.107 \\
Pink/Parkin Mediated Mitophagy 	& 0.25 	& 22(4) 	& 1.3 	& 1.3 	& 6.76e-06 \\
Mitochondrial iron-sulfur cluster biogenesis 	& 0.25 	& 13(4) 	& 1.11 	& 1.09 	& 6.79e-21 \\
CREB phosphorylation through the activation of Ras 	& 0.25 	& 29(19) 	& 1.09 	& 1.11 	& 1.3e-05 \\
ERK/MAPK targets 	& 0.25 	& 25(5) 	& 1.14 	& 1.15 	& 0.0594 \\
CREB phosphorylation through the activation of CaMKII 	& 0.24 	& 17(3) 	& 1.08 	& 1.11 	& 5.79e-07 \\
SeMet incorporation into proteins 	& 0.24 	& 11(1) 	& 1.23 	& 1.2 	& 1.33e-23 \\
Branched-chain amino acid catabolism 	& 0.24 	& 23(4) 	& 1.08 	& 1.07 	& 4.24e-07 \\
