pathway 	& d_pathway 	& n_genes 	& expression_ant 	& expression_post 	& t_test \\
Mitotic Telophase/Cytokinesis 	& 0.17 	& 14(1) 	& 1.19 	& 1.15 	& 1.31e-21 \\
InlA-mediated entry of Listeria monocytogenes into host cells 	& 0.16 	& 10(3) 	& 1.28 	& 1.27 	& 0.00365 \\
ATF6 (ATF6-alpha) activates chaperone genes 	& 0.16 	& 10(1) 	& 1.26 	& 1.24 	& 1.57e-15 \\
Translocation of ZAP-70 to Immunological synapse 	& 0.16 	& 19(4) 	& 1.02 	& 1.12 	& 1.49e-06 \\
Signaling by NOTCH1 HD Domain Mutants in Cancer (See also: Signaling by NOTCH1 HD Domain Mutants in Cancer;; Constitutive Signaling by NOTCH1 HD Domain Mutants) 	& 0.16 	& 15(1) 	& 1.21 	& 1.22 	& 0.000504 \\
Removal of the Flap Intermediate (See also: Removal of the Flap Intermediate;; Processive synthesis on the lagging strand) 	& 0.16 	& 14(1) 	& 1.17 	& 1.12 	& 7.32e-31 \\
Nucleobase biosynthesis 	& 0.16 	& 15(1) 	& 1.15 	& 1.11 	& 2.78e-28 \\
Membrane binding and targetting of GAG proteins (See also: Membrane binding and targetting of GAG proteins;; Synthesis And Processing Of GAG, GAGPOL Polyproteins) 	& 0.15 	& 15(3) 	& 1.25 	& 1.24 	& 1.2e-12 \\
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex 	& 0.15 	& 14(1) 	& 1.2 	& 1.17 	& 1.4e-14 \\
ERKs are inactivated 	& 0.15 	& 13(2) 	& 1.18 	& 1.19 	& 0.332 \\
Pre-NOTCH Processing in Golgi 	& 0.14 	& 22(5) 	& 1.11 	& 1.13 	& 2.44e-05 \\
CD28 dependent Vav1 pathway 	& 0.14 	& 14(1) 	& 1.04 	& 1.06 	& 0.00174 \\
Endosomal/Vacuolar pathway 	& 0.14 	& 11(2) 	& 1.19 	& 1.23 	& 0.00378 \\
NRIF signals cell death from the nucleus 	& 0.14 	& 20(1) 	& 1.23 	& 1.22 	& 6.49e-05 \\
PD-1 signaling 	& 0.14 	& 23(4) 	& 1.01 	& 1.09 	& 6.5e-06 \\
WNT5A-dependent internalization of FZD4 	& 0.14 	& 15(1) 	& 1.16 	& 1.18 	& 0.000816 \\
Phosphorylation of CD3 and TCR zeta chains 	& 0.14 	& 22(4) 	& 1.05 	& 1.13 	& 2.31e-06 \\
ATF6 (ATF6-alpha) activates chaperones 	& 0.14 	& 12(1) 	& 1.25 	& 1.23 	& 2.6e-21 \\
