"entrezgene","length"
100009600,1842
100009609,2538
100009614,553
100012,1854
100017,2820
100019,22899
100033459,5642
100034251,469
100034361,1887
100034684,441
100034726,607
100034729,1974
100034739,3329
100036518,1086
100036521,4525
100036537,1721
100037258,5190
100037260,1672
100037262,1731
100037278,2872
100037282,2485
100037283,974
100037396,2536
100038347,2678
100038358,4240
100038363,2777
100038371,934
100038394,1170
100038410,4259
100038417,795
100038454,1349
100038468,2300
100038481,723
100038527,3581
100038538,2838
100038554,3655
100038570,1431
100038577,1696
100038584,2489
100038595,2322
100038600,2063
100038607,2419
100038608,3468
100038617,2466
100038623,815
100038627,3164
100038628,2043
100038638,2743
100038657,741
100038666,820
100038689,842
100038693,2991
100038699,1633
100038709,4591
100038712,2612
100038718,2582
100038734,3389
100038743,1347
100038752,4548
100038846,2979
100038847,2142
100038854,387
100038859,948
100038860,948
100038862,2113
100038882,756
100038909,2158
100038912,715
100038914,2966
100038927,390
100038941,4101
100038947,2735
100038948,1277
100038977,2262
100038982,4341
100038993,2680
100039008,1431
100039028,913
100039030,891
100039042,1766
100039043,1806
100039045,3342
100039052,1822
100039054,1104
100039060,18955
100039065,1129
100039089,1406
100039109,6443
100039116,2103
100039120,892
100039133,2950
100039139,798
100039150,2200
100039206,1683
100039211,1537
100039227,6667
100039293,2344
100039315,1893
100039319,348
100039348,1734
100039436,3482
100039499,1806
100039550,12522
100039551,2064
100039574,1998
100039614,8157
100039624,383
100039641,2361
100039660,2900
100039672,743
100039684,717
100039707,4056
100039727,921
100039753,1796
100039781,913
100039795,8260
100039796,5633
100039801,663
100039805,1062
100039810,3661
100039863,712
100039864,1178
100039890,14460
100039913,761
100039934,3021
100039939,3361
100039948,779
100039957,2478
100039968,1785
100040016,1562
100040022,1374
100040031,6109
100040048,2388
100040049,935
100040160,758
100040201,570
100040208,870
100040223,1339
100040233,830
100040248,1018
100040259,528
100040268,1766
100040276,1200
100040294,682
100040322,2803
100040462,2469
100040531,2786
100040533,1950
100040591,1349
100040596,3282
100040599,2514
100040606,1951
100040608,1689
100040617,718
100040631,1927
100040635,7396
100040671,3627
100040724,5683
100040736,5036
100040766,7526
100040786,1149
100040843,1914
100040851,1193
100040852,5215
100040854,4506
100040861,2104
100040867,1400
100040880,956
100040911,993
100040937,1081
100040972,971
100040999,628
100041077,3301
100041085,1780
100041096,474
100041187,939
100041223,2574
100041230,405
100041231,604
100041244,2092
100041253,21468
100041256,2436
100041261,693
100041269,1823
100041290,805
100041294,710
100041311,1306
100041351,1731
100041352,3092
100041354,6694
100041375,4124
100041379,3990
100041412,663
100041434,1152
100041449,1997
100041488,396
100041546,801
100041550,2424
100041574,3890
100041576,7912
100041581,2794
100041586,2368
100041605,521
100041618,416
100041621,2955
100041654,628
100041655,1526
100041658,1079
100041677,4976
100041687,1953
100041688,403
100041694,2385
100041724,731
100041759,282
100041787,282
100041797,3779
100041811,282
100041890,427
100041895,404
100041952,376
100041979,2919
100042049,810
100042056,7699
100042065,359
100042149,2859
100042150,2908
100042165,5181
100042173,824
100042254,2982
100042314,949
100042332,1707
100042342,836
100042415,2774
100042428,992
100042437,921
100042450,2190
100042453,717
100042464,5186
100042480,14953
100042485,899
100042498,1766
100042499,2346
100042539,13188
100042555,4029
100042584,4750
100042591,2586
100042636,2559
100042653,5118
100042679,593
100042715,2515
100042757,416
100042761,1023
100042781,2559
100042782,856
100042784,4933
100042786,992
100042810,2559
100042848,2559
100042855,258
100042891,10233
100042894,4860
100042921,2559
100042922,1002
100042948,3445
100042964,1848
100042966,4586
100042970,3768
100042976,921
100042980,1842
100042996,966
100043013,966
100043016,3684
100043025,918
100043034,430
100043040,3581
100043051,1848
100043057,1538
100043058,1932
100043061,921
100043067,924
100043079,1890
100043083,918
100043100,2884
100043101,930
100043102,2428
100043103,915
100043108,1922
100043125,1744
100043133,3581
100043160,372
100043188,2247
100043194,741
100043200,963
100043213,6367
100043216,2579
100043224,1828
100043225,696
100043227,1854
100043229,1175
100043232,2644
100043239,910
100043247,914
100043254,860
100043272,3046
100043292,4242
100043305,3678
100043314,963
100043315,1481
100043335,1610
100043381,5767
100043387,3515
100043424,4490
100043450,1679
100043468,3236
100043474,1091
100043513,520
100043523,921
100043536,924
100043561,924
100043569,894
100043580,713
100043585,792
100043595,2475
100043604,6296
100043609,979
100043614,924
100043636,1408
100043644,532
100043667,924
100043682,2628
100043684,7556
100043686,3778
100043706,1080
100043757,9805
100043766,2136
100043860,400
100043861,719
100043868,491
100043885,1178
100043899,1094
100043902,8665
100043910,3772
100043911,12765
100044509,1075
100045653,2564
100047130,551
100048658,2209
100048884,1811
100048885,1047
100048895,3428
100049545,71
100049546,62
100049547,95
100049548,65
100049549,72
100049710,83
100061,2841
100066,1935
100072,14329
100073351,6822
100087,1556
100088,4660
100090,2226
100093700,3835
100101806,2439
100101807,3841
100102,3512
100113364,116
100113398,1411
100121,3690
100124431,83
100124432,79
100124433,77
100124438,75
100124439,80
100124441,81
100124447,85
100124449,75
100124451,78
100124452,79
100124453,84
100124456,81
100124457,77
100124458,81
100124459,85
100124460,78
100124461,77
100124462,76
100124463,80
100124464,81
100124466,83
100124467,83
100124468,85
100124469,78
100124470,83
100124473,158
100124476,79
100124478,77
100124479,78
100124480,78
100124481,80
100124482,102
100124484,82
100124488,79
100124489,80
100124491,76
100124492,76
100124493,78
100124494,76
100124495,80
100124496,77
100124649,109
100125339,1649
100125586,2484
100125931,3781
100126226,1757
100126765,1117
100126768,1311
100126773,1413
100126777,552
100126778,901
100126779,646
100127111,126
100129,3777
100134990,783
100135653,645
100135654,837
100135657,657
100163,3437
100165,864
100169,4570
100169874,1026
100169878,711
100169889,865
100170401,1492
100177,9307
100182,6648
100189605,1294
100190765,80
100191037,902
100198,4889
100201,4681
100206,1368
100210,1356
100213,6263
100216455,3018
100216474,1623
100216531,77
100216532,68
100216533,78
100216534,77
100216535,42
100216536,78
100216537,73
100216538,76
100216539,70
100216540,68
100217413,71
100217414,118
100217415,248
100217416,112
100217417,118
100217418,117
100217419,99
100217420,164
100217421,63
100217423,54
100217424,59
100217425,61
100217426,63
100217427,59
100217428,63
100217429,46
100217430,58
100217431,59
100217432,64
100217433,72
100217434,84
100217435,68
100217436,1306
100217437,56
100217438,61
100217439,110
100217440,62
100217441,99
100217442,5425
